NOM_PAYS                                 AVG(PIB_PAR_HABITANT)  AVG(TAUX_SUICIDE)      
---------------------------------------- ---------------------- ---------------------- 
Antigua and Barbuda                      14853                  1,30166666666666666666666666666666666667 
Argentina                                14981                  9,34416666666666666666666666666666666667 
Armenia                                  3781,5                 3,90181818181818181818181818181818181818 
Australia                                60656                  12,84833333333333333333333333333333333333 
Austria                                  46730                  17,175                 
Belgium                                  42830                  16,38833333333333333333333333333333333333 
Belize                                   5561                   11,28833333333333333333333333333333333333 
Brazil                                   9431                   6,45416666666666666666666666666666666667 
Chile                                    14729                  12,30666666666666666666666666666666666667 
Colombia                                 6552                   5,86666666666666666666666666666666666667 
Croatia                                  12628                  20,14727272727272727272727272727272727273 
Cuba                                     8044                   16,1925                
Cyprus                                   24908                  4,39727272727272727272727272727272727273 
Denmark                                  55972                  10,11833333333333333333333333333333333333 
Ecuador                                  6832                   8,11583333333333333333333333333333333333 
Estonia                                  18149                  17,115                 
Finland                                  44862                  13,4325                
Georgia                                  4046                   7,05666666666666666666666666666666666667 
Germany                                  43201                  12,52833333333333333333333333333333333333 
Greece                                   18927                  4,67166666666666666666666666666666666667 
Grenada                                  10564                  0                      
Guatemala                                4472                   3,7375                 
Hungary                                  13267,5                22,66409090909090909090909090909090909091 
Iceland                                  59808,5                12,66909090909090909090909090909090909091 
Israel                                   39793                  5,4925                 
Italy                                    31537                  6,5375                 
Japan                                    36510                  17,17                  
Kazakhstan                               11784                  19,835                 
Kyrgyzstan                               1285                   8,1975                 
Latvia                                   14382                  20,95583333333333333333333333333333333333 
Lithuania                                15407,5                33,96363636363636363636363636363636363636 
Luxembourg                               107456                 11,2                   
Malta                                    25750                  6,5225                 
Mauritius                                10347,5                9,05772727272727272727272727272727272727 
Mexico                                   10228                  5,5475                 
Mongolia                                 4145                   18,439                 
Netherlands                              47657                  11,56                  
Nicaragua                                2303                   5,8225                 
Norway                                   79187                  11,36916666666666666666666666666666666667 
Panama                                   15158                  3,74166666666666666666666666666666666667 
Poland                                   13228                  13,91583333333333333333333333333333333333 
Qatar                                    66210,5                1,60318181818181818181818181818181818182 
Romania                                  9725,5                 11,35818181818181818181818181818181818182 
Serbia                                   5492                   17,16416666666666666666666666666666666667 
Seychelles                               16005                  6,77083333333333333333333333333333333333 
Singapore                                81766                  9,1075                 
Slovenia                                 22036                  22,0675                
South Africa                             6403                   1,08333333333333333333333333333333333333 
Spain                                    27108                  8,115                  
Sweden                                   55111,5                13,09727272727272727272727272727272727273 
Switzerland                              86068                  13,72166666666666666666666666666666666667 
Thailand                                 6632,5                 7,20318181818181818181818181818181818182 
Turkey                                   11961                  2,3725                 
Turkmenistan                             7326                   2,37333333333333333333333333333333333333 
Ukraine                                  2256                   20,39333333333333333333333333333333333333 
United Kingdom                           47240                  7,22833333333333333333333333333333333333 
United States                            60387                  14,6175                
Uruguay                                  16696                  22,50166666666666666666666666666666666667 
                                         26904,6094570928196147110332749562171629 11,18588729016786570743405275779376498801 

 59 lignes sélectionnées 

