NOM_PAYS                                 AVG_BON                AVG(TAUX_SUICIDE)      
---------------------------------------- ---------------------- ---------------------- 
Switzerland                              7,548                  13,72166666666666666666666666666666666667 
Iceland                                  7,531                  12,66909090909090909090909090909090909091 
Denmark                                  7,5265                 10,11833333333333333333333333333333333333 
Norway                                   7,51                   11,36916666666666666666666666666666666667 
Finland                                  7,4095                 13,4325                
Netherlands                              7,3585                 11,56                  
Sweden                                   7,3275                 13,09727272727272727272727272727272727273 
Australia                                7,2985                 12,84833333333333333333333333333333333333 
Israel                                   7,2725                 5,4925                 

 9 lignes sélectionnées 

